title,bedrooms,bathrooms,area,location,url,description,amenities,type,price,country,amenities_old,desc_nlp,title_nlp,city,description_word_count,title_word_count,num_amenities,amenity_sports_recreation,amenity_water_supply,amenity_library,amenity_mosque,amenity_office,amenity_electricity,amenity_basement,amenity_fireplace,amenity_pool,amenity_restaurant,amenity_balcony,amenity_maintenance,amenity_security,amenity_parking,amenity_reception,amenity_air_conditioning,amenity_school,amenity_kitchen,amenity_pets,kw_offer,kw_plan,kw_tourism,kw_commercial,kw_complex,kw_furnished,kw_building,kw_city,kw_floor,kw_hall,kw_kitchen,kw_located,kw_negotiable,kw_payment,kw_residential,kw_sale,kw_tower,kw_village,rooms_total,is_large_property,city_LE,total_rooms,area_per_room,bed_bath_ratio,is_family_sized,is_studio_flag,has_view,is_furnished,is_renovated,unique_word_count,avg_word_len
Modern Home with 4 Bedrooms,4.0,3.0,2152,"Al Jawahery Residential City, Baghdad",https://homele.com/properties/modern-home-with-4-bedrooms-75696,"House For Sale, located in Baghdad, Al Jawahery Residential City, with an area of 200m, the price is IQD 290,000,000. Consists of: - 4 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms - Sales Center : Baghdad - Al Mansour - Jordan Street - Near Said Halib intersection - Call Center : 7740 - WhatsApp : +9647874777177","['parking', 'security', 'balcony']",House,204514,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'Storage Space', 'CCTV Security', 'Security Staff']",house sale located baghdad al jawahery residential city area 200m price iqd 290 000 000 consists 4 bedroom 1 kitchen 1 living room 1 hall 3 bathroom sale center baghdad al mansour jordan street near said halib intersection call center 7740 whatsapp 9647874777177,modern home 4 bedroom,Baghdad,63,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,1,0,7.0,307.42857142857144,1.0,1,0,0,0,0,36,5.116279069767442
Modern House in Emerald City,2.0,3.0,1722,"Emerald City, Kirkuk",https://homele.com/properties/modern-house-in-emerald-city-72320,"House For Sale, located in Kirkuk, Emerald City, with an area of 160m, the price is IQD 210,000,000. Consists of: - 2 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 3 Bathrooms","['parking', 'security', 'electricity', 'balcony']",House,148096,IRAQ,"['Balcony', 'Parking Spaces', 'Double Glazed Windows', 'CCTV Security', 'Sewerage System', '24hr Electricity']",house sale located kirkuk emerald city area 160m price iqd 210 000 000 consists 2 bedroom 1 kitchen 1 living room 1 hall 3 bathroom,modern house emerald city,Kirkuk,36,5,49,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0,4,5.0,344.4,0.5,0,0,0,0,0,22,4.28
1 Bed Apartment with Views,1.0,1.0,968,"Baghdad View, Baghdad",https://homele.com/properties/1-bed-apartment-with-views-75156,"Apartment For Sale, located in Baghdad, Baghdad View, with an area of 90m, the price is IQD 110,500,000. Consists of: - 1 Bedroom - 1 Kitchen - 1 Hall - 1 Bathroom",[],Apartment,77927,IRAQ,[],apartment sale located baghdad baghdad view area 90m price iqd 110 500 000 consists 1 bedroom 1 kitchen 1 hall 1 bathroom,1 bed apartment view,Baghdad,32,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,0,2.0,484.0,0.5,0,1,1,0,0,18,4.545454545454546
Elegant 1 Bedroom Apartment,1.0,1.0,1001,"Boulevard, Erbil",https://homele.com/properties/elegant-1-bedroom-apartment-82905,"Apartment For Sale, located in Erbil, Boulevard, with an area of 92.5m, the price is $103,500. Consists of: - 1 Bedroom - 1 Kitchen - 1 Living Room - 1 Bathroom - Floor number: 13","['air_conditioning', 'electricity', 'balcony']",Apartment,103500,IRAQ,"['Balcony', 'Central Air-Conditioner', '24hr Electricity', 'Green Area', 'Car Washing', 'Central Fire Fighting System']",apartment sale located erbil boulevard area 92 5m price 103 500 consists 1 bedroom 1 kitchen 1 living room 1 bathroom floor number 13,elegant 1 bedroom apartment,Erbil,35,4,46,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0,2,2.0,500.5,0.5,0,1,0,0,0,21,4.583333333333333
Elegant 3-Bedroom Apartment with Beautiful Views,3.0,3.0,1840,"Emperor Hills Complex, Baghdad",https://homele.com/properties/elegant-3-bedroom-apartment-with-beautiful-views-74919,"University Teachers Offers: * The Down Payment has been increased to (%5). For more information about offers please contact the sales center. Apartment For Sale, located in Baghdad, Emperor Hills Complex, with an area of 171m, the price is IQD 299,250,000. - Building C6 Consists of: - 3 Bedrooms - 1 Kitchen - 1 Hall - 3 Bathrooms - Floor number: 10","['parking', 'security', 'balcony']",Apartment,211037,IRAQ,"['Balcony', 'Parking Spaces', 'Central Heating', 'Double Glazed Windows', 'CCTV Security', 'Security Staff']",university teacher offer payment increased 5 information offer please contact sale center apartment sale located baghdad emperor hill complex area 171m price iqd 299 250 000 building c6 consists 3 bedroom 1 kitchen 1 hall 3 bathroom floor number 10,elegant 3 bedroom apartment beautiful view,Baghdad,62,6,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0,0,6.0,306.6666666666667,0.75,1,0,0,0,0,36,5.225
Residential Plot Opposite Garden,3.0,2.0,1614,"Baghlumnara, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83415,"Residential Plot For Sale, located in Erbil, Baghlumnara, with an area of 150m, the price is $49,000.",[],Residential Plot,49000,IRAQ,[],residential plot sale located erbil baghlumnara area 150m price 49 000,residential plot opposite garden,Erbil,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0,2,5.0,322.8,1.0,1,0,0,0,0,11,5.454545454545454
Residential Plot Opposite Garden,3.0,2.0,3229,"Azza, Erbil",https://homele.com/properties/residential-plot-opposite-garden-83425,"Residential Plot For Sale, located in Erbil, Azza, with an area of 300m, the price is $32,500.",[],Residential Plot,32500,IRAQ,[],residential plot sale located erbil azza area 300m price 32 500,residential plot opposite garden,Erbil,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1,2,5.0,645.8,1.0,1,0,0,0,0,11,4.818181818181818
Spacious House with Multiple Rooms,4.0,3.0,2152,"Hakmawa, Erbil",https://homele.com/properties/spacious-house-with-multiple-rooms-83423,"House For Sale, located in Erbil, Hakmawa, with an area of 200m, the price is $200,000. Consists of: - 4 Bedrooms - 2 Kitchens - 1 Living Room - 2 Halls - 3 Bathrooms - Floor number: 2","['parking', 'balcony']",House,200000,IRAQ,"['Balcony', 'Parking Spaces', 'Green Area']",house sale located erbil hakmawa area 200m price 200 000 consists 4 bedroom 2 kitchen 1 living room 2 hall 3 bathroom floor number 2,spacious house multiple room,Erbil,38,5,22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1,2,7.0,307.42857142857144,1.0,1,0,0,0,0,23,4.32
Modern 2-Bedroom Apartment for Sale,2.0,2.0,1399,"Empire Pearl Towers, Erbil",https://homele.com/properties/modern-2-bedroom-apartment-for-sale-83412,"Apartment For Sale, located in Erbil, Empire Pearl Towers, with an area of 130m, the price is $135,000 (Negotiable). Consists of: - 2 Bedrooms - 1 Kitchen - 1 Hall - 2 Bathrooms - Floor number: 18","['parking', 'security', 'balcony']",Apartment,135000,IRAQ,"['Balcony', 'Parking Spaces', 'Electricity Generator', 'Double Glazed Windows', 'Satellite/Cable TV', 'CCTV Security']",apartment sale located erbil empire pearl tower area 130m price 135 000 negotiable consists 2 bedroom 1 kitchen 1 hall 2 bathroom floor number 18,modern 2 bedroom apartment sale,Erbil,37,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0,2,4.0,349.75,0.6666666666666666,0,0,0,0,0,23,4.84
5 Bedroom House for Sale,5.0,4.0,4208,"Aram Village 2, Erbil",https://homele.com/properties/5-bedroom-house-for-sale-83426,"House For Sale, located in Erbil, Aram Village 2, with an area of 391m, the price is $600,000. Consists of: - 5 Bedrooms - 1 Kitchen - 1 Living Room - 1 Hall - 4 Bathrooms",[],House,130000,IRAQ,[],house sale located erbil aram village 2 area 391m price 600 000 consists 5 bedroom 1 kitchen 1 living room 1 hall 4 bathroom,5 bedroom house sale,Erbil,36,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1,2,9.0,467.55555555555554,1.0,1,0,0,0,0,22,4.208333333333333
