title,price,type,bedrooms,bathrooms,location,url,description,amenities,area,country,city,district,price_per_sqft,description_word_count,description_char_count,title_word_count,title_char_count,amenities_word_count,amenities_char_count,has_security_amenities,has_parking_amenities,has_pool_amenities,has_gym_amenities,has_kitchen_amenities,has_outdoor_amenities,has_luxury_amenities,has_utilities_amenities,total_amenities
Modern Interior | Elegant Flat | Spacious | Balconies | View,800000.0,Apartment,4.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/BL-BL2538024/apartment-for-sale-achrafieh-lebanon-BL-BL2538024,"285 sqm apartment with a proper finishing, sunny clean space, and ready to move in! This new modern apartment has everything ready for your convenience.  Amenities: - 4 Bedrooms - 5 Bathrooms - Modern-equipped Open Kitchen - Built-in Wardrobes - Maid's Room - Air Conditioning & Heating - 2 Balconies  Special Details: - 24/7 Electricity - 24/7 Concierge Service - Elevator - Storage Space - 2 Underground Parking Spots  Take a walk around the neighborhood and you’ll experience its creative energy first-hand and thriving sense community, with an unexpected mix of places to eat, shop, and be inspired. Here is one of the best-connected areas of Achrafieh Beirut, everything’s right here and ready for you.  Not finding your apartment? Our team is ready to help you find plenty of apartments that would fit your taste! Contact us. Reference BL2538024 800,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'City View', 'Near Public transportation', 'Near restaurants']",3068.0,Lebanon,Achrafieh,Beirut ,260.7561929595828,143,874,11,60,20,179,0,1,0,0,2,1,0,0,10
Modern Interior | Elegant Flat | Spacious | Balconies | View,800000.0,Apartment,4.0,5.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/BL-BL2538024/apartment-for-sale-achrafieh-lebanon-BL-BL2538024,"285 sqm apartment with a proper finishing, sunny clean space, and ready to move in! This new modern apartment has everything ready for your convenience.  Amenities: - 4 Bedrooms - 5 Bathrooms - Modern-equipped Open Kitchen - Built-in Wardrobes - Maid's Room - Air Conditioning & Heating - 2 Balconies  Special Details: - 24/7 Electricity - 24/7 Concierge Service - Elevator - Storage Space - 2 Underground Parking Spots  Take a walk around the neighborhood and you’ll experience its creative energy first-hand and thriving sense community, with an unexpected mix of places to eat, shop, and be inspired. Here is one of the best-connected areas of Achrafieh Beirut, everything’s right here and ready for you.  Not finding your apartment? Our team is ready to help you find plenty of apartments that would fit your taste! Contact us. Reference BL2538024 800,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'City View', 'Near Public transportation', 'Near restaurants']",3068.0,Lebanon,Achrafieh,Beirut ,260.7561929595828,143,874,11,60,20,179,0,1,0,0,2,1,0,0,10
Chalet with Terrace for Sale in Bekish,290000.0,Chalet,2.0,4.0,"Qanat Bakish, Mount Lebanon Governorate, El Metn district",https://www.realestate.com.lb/en/buy-properties-lebanon/HB-HB25044F/chalet-for-sale-qanat-bakish-lebanon-HB-HB25044F,"UNDER CONSTRUCTION WITH A FLEXIBLE PAYMENT PLAN  5-MINUTE DRIVE FROM FAQRA CLUB The destination & luxury you’re seeking! It’s a high-end duplex chalet under construction located at the Skadi building – a new modern architectural marvel with a charming double height lobby entrance, nestled within a gated community in a sought-after area in Qanat BAKISH, known for its upscale villas. Offers 122 sqm livable area plus 59 sqm terrace. Built with unique style designs, unrivaled quality, finest construction material and the most exquisite craftsman’s touch. Privileged with endless scenes of merging snow & sea views in wintertime, besides offering perfect stays for quiet relaxation, skiing and hiking. Comprises reception area, 2 master bedrooms, guest toilet, salon, dining room, maid’s room with bathroom, kitchen and storage room. Underground parking space assigned plus ample outdoor parking for visitors. Equipped with a Floor Heating system. Amenities include floor-to-ceiling windows & doors, chimney, face recognition video phone, double wall with isolation, double glazed windows, full exterior cladding, ski locker, OTIS elevator with UPS, Smart system and 24/7 security. Delivery Date: September 2027 Asking price: $290,000 Directly from the Owner HB Real Estate…Your Best Choice Reference HB25044 290,000 USD Save Share",[],1313.0,Lebanon,Qanat Bakish,El Metn ,220.86824067022087,196,1332,7,38,1,2,0,0,0,0,0,0,0,0,0
24/7 Electricity | Beautiful Apartment | For Sale,495000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21233/apartment-for-sale-achrafieh-lebanon-AP-21233,"Apartment for Sale in Achrafieh Prime Location - Easy Access - New Building  Space: 200 SQM   Unit Features:  • 3 Bedrooms - 1 Master • 4 Bathrooms • Dining Room • Closed  Modern Kitchen • Living Room • Maids Room • 3 Balconies   Features:  • 24/7 Electricity  • 24/7 Concierge  • Central AC • AC Split • Heating System  • Networked • Built in Plugs • Spot Lights • Shared Sports Room  Facilities:  • 1 Underground Parking • Visitors Parking  • Storage Room  Sale Price: 495,000$ - Fresh USD +2.5% brokerage fees  - Reference #CS68 - Reference CS68 495,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Storage Room', 'Near Public transportation', 'Near restaurants']",2153.0,Lebanon,Achrafieh,Beirut ,229.91175104505342,102,571,8,49,20,182,0,1,0,0,2,1,0,0,10
160 Sqm | Apartment for Sale in Achrafieh,370000.0,Apartment,2.0,3.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21231/apartment-for-sale-achrafieh-lebanon-AP-21231,"Apartment for Sale in Achrafieh Prime Location - Well Secured  Space: 160 Sqm   Unit Features:  • 2 Bedrooms • 3 Bathrooms • Living Room  • Dining Area  • Closed kitchen  • Maids Room  • 2 Balconies  Features:  • Heating  • Ac’s • 24/7 Security  • 24/7 Electricity • 24/7 Water • 2 Elevators • Concierge Full Time   Facilities:  • Shared Garden and Playground • Private Generators  • 1 Parking + Parking for Visitors • Storage Room  Sale Price: 370,000$ + 2.5 brokerage fees  - Reference #S403 - Reference S403 370,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Near Public transportation', 'Near restaurants']",1722.0,Lebanon,Achrafieh,Beirut ,214.8664343786295,93,533,8,41,19,178,1,1,0,0,2,1,0,0,10
88 Sqm | Apartment for Sale in Achrafieh,400000.0,Apartment,2.0,2.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21230/apartment-for-sale-achrafieh-lebanon-AP-21230,"Apartment for Sale in Achrafieh Prime Location - Easy Access - New Building   Space: 88 SQM  Unit Features:   • 2 Bedrooms - 1 Master • 2 Bathrooms • Open Modern Kitchen • Living Room  Facilities:  • Networked • Built In Plugs • AC Split • Spot Lights • 24/7 Concierge • 24/7 Security  • 24/7 Electricity   Features:  • 1 Underground Parking  Sale Price: 400,000$ +2.5% brokerage fees   - Reference #A231 - Reference A231 400,000 USD Save Share","['Central A/C', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Near Public transportation', 'Near restaurants']",947.0,Lebanon,Achrafieh,Beirut ,422.3864836325238,77,444,8,40,16,153,1,1,0,0,2,0,0,0,8
Sunny & Modern Flat | Open View | Prime Location,500000.0,Apartment,3.0,3.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/HERO-S775/apartment-for-sale-achrafieh-lebanon-HERO-S775,"Sunny & Modern Flat In A Modern Building With A Large Balcony And Open View.  The Building Has A Sharing Rooftop Area for your Parties & BBQ Events….  This 180 sqm apartment consists of, 3 Bedrooms, 3 Bathrooms, Built-In Wardrobes, Central AC/Heating system, Generator, Security, 2 Parking, Storage Room and a Concierge!   Price: 500,000 USD + 2.5% Commission - Cash or International Bank Transfer.  Achrafieh is a desirable location & most vibrant city in Beirut.  The environment is great, independent, which provides you a fantastic way of life and place to have a good sociability.  This property located close to shopping malls, restaurants, coffee shops, grocery stores, hospitals, schools and many other amenities.  It is important to search for a well-connected and secured residential area that is easily accessible for your daily needs.  For this reason, Please do not hesitate to contact us for similar units, our team would be happy to assist you regarding this matter and to find you the best apartment in the Area.  WE HAVE THE LARGEST DATABASE OF APARTMENTS IN ACHRAFIEH. Reference S775 500,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Barbecue Area', 'Storage Room', 'Terrace', 'City View', 'Near Public transportation', 'Near restaurants']",1938.0,Lebanon,Achrafieh,Beirut ,257.99793601651186,182,1124,10,48,25,223,0,1,0,0,2,2,0,0,13
Modern Flat | Pool & Gym | Balcony & Sea View,950000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/HERO-S773/apartment-for-sale-achrafieh-lebanon-HERO-S773,"Spacious & Bright Apartment In A Stylish Building With 2 Balconies And Sea View.  This Is Not All…. As You Have A Sharing Pool & Gym In The Building With A Beautiful Garden.  This 250 Sqm Flat consists of 3  Master Bedrooms, Maid Room, 4 Bathrooms, Balcony, Sea View, Built-In Wardrobes, Central Ac/Heating System, Generator, Security, 2 Parkings and a Concierge.  Price: 950,000 USD + 2.5% Commission - Cash or International Bank Transfer.  Achrafieh is a desirable location & most vibrant city in Beirut.  The environment is great, independent, which provides you a fantastic way of life and place to have a good sociability.  This property located close to shopping malls, restaurants, coffee shops, grocery stores, hospitals, schools and many other amenities.  It is important to search for a well-connected and secured residential area that is easily accessible for your daily needs.  For this reason, Please do not hesitate to contact us for similar units, our team would be happy to assist you regarding this matter and to find you the best apartment in the Area.  WE HAVE THE LARGEST DATABASE OF APARTMENTS IN ACHRAFIEH. Reference S773 950,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Shared Pool', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'View of Water', 'View of Landmark', 'Shared Gym', ""Children's Play Area"", 'Storage Room', 'City View', 'Maintenance', 'Near Public transportation', 'Near restaurants']",2691.0,Lebanon,Achrafieh,Beirut ,353.0286138981791,191,1166,11,45,37,312,1,1,1,1,2,1,0,1,18
Spacious High-End Apartment | Open View | Calm Area,540000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/HERO-S576/apartment-for-sale-achrafieh-lebanon-HERO-S576,"Unfurnished Spacious High-End modern apartment in a Nice building With A Beautiful Façade & Open View.  Located in a very calm area with many road accesses to avoid the traffic.  You will have in this 206 sqm apartment, a nice balcony with an open view, 3 bedrooms, 4 bathrooms, maid room, built-In wardrobes, central AC/heating system, generator, 1 parking, Storage Room & a concierge!  Price: 540,000 USD + 2.5% Commission - Cash or International Bank Transfer.  Achrafieh is a desirable location & most vibrant city in Beirut.  The environment is great, independent, which provides you a fantastic way of life and place to have a good sociability.  This property located close to shopping malls, restaurants, coffee shops, grocery stores, hospitals, schools and many other amenities.  It is important to search for a well-connected and secured residential area that is easily accessible for your daily needs.  For this reason, Please do not hesitate to contact us for similar units, our team would be happy to assist you regarding this matter and to find you the best apartment in the Area.  WE HAVE THE LARGEST DATABASE OF APARTMENTS IN ACHRAFIEH. Reference S576 540,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Storage Room', 'City View', 'Near Public transportation', 'Near restaurants']",2217.0,Lebanon,Achrafieh,Beirut ,243.5723951285521,194,1189,9,51,22,195,0,1,0,0,2,1,0,0,11
130 Sqm | Loft For Sale in Mar Mikhael,454000.0,Loft,2.0,3.0,"Mar Mikhael, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21213/loft-for-sale-mar-mikhael-lebanon-AP-21213,"Loft For Sale in Mar Mikhael New Building - Easy Access - Never Used Before   Space: 130 Sqm   Unit Features:  • 2 Bedrooms - 1 Master • 3 Bathrooms • Living Room • Dining Area • Open Kitchen Fully Equipped  • Maids Room  • ⁠Balcony   Facilities :  • 24/7 Electricity  • 24/7 Concierge  • Central AC  • 24/7 Security   Features:  • 1  Underground Parking   Sale Price: 454,000$ - Cash USD + 2.5% brokerage fees  - Reference #CS319 - Reference CS319 454,000 USD Save Share","['Maids Room', 'Central A/C', 'Balcony', 'Security', 'Concierge', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Near Public transportation', 'Near restaurants']",1399.0,Lebanon,Mar Mikhael,Beirut ,324.51751250893494,84,471,9,38,19,178,1,1,0,0,2,1,0,0,10
216 Sqm | Apartment for Sale in Achrafieh,649000.0,Apartment,3.0,4.0,"Achrafieh, Beirut Governorate, Beirut district",https://www.realestate.com.lb/en/buy-properties-lebanon/AP-21212/apartment-for-sale-achrafieh-lebanon-AP-21212,"Apartment for Sale in Achrafieh Prime Location - Easy Access - New building   Space: 216 SQM   Unit Features:   • 3 Bedrooms - 1 Master  • 4 Bathrooms • Closed Modern Kitchen Fully Equipped • Living Room • ⁠Dining Area  • ⁠TV Room  • Maids Room   Features:  • 24/7 Concierge • Central AC • 24/7 Electricity   • ⁠Heating System   Facilities:  • 2 Parkings • ⁠Storage Room   Sale Price: 649,000$ +2.5% brokerage fees  - Reference #CS355 - Reference CS355 649,000 USD Save Share","['Maids Room', 'Central A/C', 'Concierge', 'Built in Wardrobes', 'Kitchen Appliances', 'Storage Room', 'Near Public transportation', 'Near restaurants']",2325.0,Lebanon,Achrafieh,Beirut ,279.13978494623655,81,475,8,41,17,152,0,0,0,0,2,0,0,0,8
